Ref,Val,Package,PosX,PosY,Rot,Side
"D55","D_Small","D_SOD-123",419.445000,-81.665000,-90.000000,bottom
"D56","D_Small","D_SOD-123",419.445000,-88.665000,-90.000000,bottom
"D57","D_Small","D_SOD-123",20.445000,-81.665000,-90.000000,bottom
"D58","D_Small","D_SOD-123",39.445000,-81.665000,-90.000000,bottom
"D59","D_Small","D_SOD-123",58.445000,-81.665000,-90.000000,bottom
"D60","D_Small","D_SOD-123",77.445000,-81.665000,-90.000000,bottom
"D61","D_Small","D_SOD-123",96.445000,-81.665000,-90.000000,bottom
"D62","D_Small","D_SOD-123",115.445000,-81.665000,-90.000000,bottom
"D63","D_Small","D_SOD-123",134.445000,-81.665000,-90.000000,bottom
"D64","D_Small","D_SOD-123",153.445000,-81.665000,-90.000000,bottom
"D65","D_Small","D_SOD-123",172.445000,-81.665000,-90.000000,bottom
"D66","D_Small","D_SOD-123",191.445000,-81.665000,-90.000000,bottom
"D67","D_Small","D_SOD-123",210.445000,-81.665000,-90.000000,bottom
"D68","D_Small","D_SOD-123",229.445000,-81.665000,-90.000000,bottom
"D69","D_Small","D_SOD-123",248.445000,-81.665000,-90.000000,bottom
"D70","D_Small","D_SOD-123",267.445000,-81.665000,-90.000000,bottom
"D71","D_Small","D_SOD-123",289.300000,-84.350000,-90.000000,bottom
"D72","D_Small","D_SOD-123",338.695000,-81.665000,-90.000000,bottom
"D73","D_Small","D_SOD-123",381.445000,-100.665000,-90.000000,bottom
"D74","D_Small","D_SOD-123",400.445000,-100.665000,-90.000000,bottom
"D75","D_Small","D_SOD-123",419.445000,-100.665000,-90.000000,bottom
"D76","D_Small","D_SOD-123",419.445000,-107.665000,-90.000000,bottom
"D77","D_Small","D_SOD-123",31.695000,-100.665000,-90.000000,bottom
"D78","D_Small","D_SOD-123",67.945000,-100.665000,-90.000000,bottom
"D79","D_Small","D_SOD-123",86.945000,-100.665000,-90.000000,bottom
"D80","D_Small","D_SOD-123",105.945000,-100.665000,-90.000000,bottom
"D81","D_Small","D_SOD-123",124.945000,-100.665000,-90.000000,bottom
"D82","D_Small","D_SOD-123",143.945000,-100.665000,-90.000000,bottom
"D83","D_Small","D_SOD-123",162.945000,-100.665000,-90.000000,bottom
"D84","D_Small","D_SOD-123",181.945000,-100.665000,-90.000000,bottom
"D85","D_Small","D_SOD-123",200.945000,-100.665000,-90.000000,bottom
"D86","D_Small","D_SOD-123",219.945000,-100.665000,-90.000000,bottom
"D87","D_Small","D_SOD-123",238.945000,-100.665000,-90.000000,bottom
"D88","D_Small","D_SOD-123",257.945000,-100.665000,-90.000000,bottom
"D89","D_Small","D_SOD-123",286.445000,-100.665000,-90.000000,bottom
"D90","D_Small","D_SOD-123",319.695000,-100.665000,-90.000000,bottom
"D91","D_Small","D_SOD-123",338.695000,-100.665000,-90.000000,bottom
"D92","D_Small","D_SOD-123",381.445000,-119.665000,-90.000000,bottom
"D93","D_Small","D_SOD-123",400.445000,-119.665000,-90.000000,bottom
"D94","D_Small","D_SOD-123",419.445000,-119.665000,-90.000000,bottom
"D95","D_Small","D_SOD-123",419.445000,-126.665000,-90.000000,bottom
"D96","D_Small","D_SOD-123",48.945000,-119.665000,-90.000000,bottom
"D97","D_Small","D_SOD-123",67.945000,-119.665000,-90.000000,bottom
"D98","D_Small","D_SOD-123",96.445000,-119.665000,-90.000000,bottom
"D99","D_Small","D_SOD-123",139.195000,-119.665000,-90.000000,bottom
"D100","D_Small","D_SOD-123",186.695000,-119.665000,-90.000000,bottom
"D101","D_Small","D_SOD-123",219.945000,-119.665000,-90.000000,bottom
"D102","D_Small","D_SOD-123",237.700000,-116.550000,-90.000000,bottom
"D103","D_Small","D_SOD-123",357.695000,-100.665000,-90.000000,bottom
"D104","D_Small","D_SOD-123",29.945000,-119.665000,-90.000000,bottom
"D105","D_Small","D_SOD-123",319.695000,-119.665000,-90.000000,bottom
"D106","D_Small","D_SOD-123",286.445000,-119.665000,-90.000000,bottom
"D107","D_Small","D_SOD-123",338.695000,-119.665000,-90.000000,bottom
"D108","D_Small","D_SOD-123",357.695000,-119.665000,-90.000000,bottom
"D109","D_Small","D_SOD-123",357.695000,-81.665000,-90.000000,bottom
"FB1","Ferrite_Bead","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",424.945000,-28.430000,0.000000,bottom
"J2","Conn_01x04_MountingPin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",430.290000,-14.270000,0.000000,bottom
"Q1","Q_PMOS_GSD AO3401A","SOT-23",402.692500,-13.430000,180.000000,bottom
"Q2","Q_NMOS_GSD 2N7002","SOT-23",405.542500,-20.865000,180.000000,bottom
"Q3","Q_NMOS_GSD 2N7002","SOT-23",398.502500,-12.680000,180.000000,bottom
"Q4","2N3904","SOT-23",335.325000,-64.187500,-90.000000,bottom
"R2","2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",409.530000,-25.165000,-90.000000,bottom
"R3","390","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",398.445000,-17.900000,0.000000,bottom
"R4","1k","R_0805_2012Metric",313.550000,-63.650000,90.000000,bottom
